description,label,predicted_medical_specialty
Patient suffered from morbid obesity for many years and made multiple attempts at nonsurgical weight loss without success.,Bariatrics,Bariatrics
Preop evaluation regarding gastric bypass surgery.,Bariatrics,Bariatrics
"Gentleman with long-standing morbid obesity, resistant to nonsurgical methods of weight loss with BMI of 69.7",Bariatrics,Bariatrics
Patient scheduled for laparoscopic gastric bypass.,Bariatrics,Bariatrics
Patient presented to the bariatric surgery service for consideration of laparoscopic roux en Y gastric bypass surgery.,Bariatrics,Bariatrics
Patient discharged after laparoscopic Roux-en-Y gastric bypass.,Bariatrics,Bariatrics
Patient status post lap band placement.,Bariatrics,Bariatrics
Preoperative visit for weight management with laparoscopic gastric banding,Bariatrics,Bariatrics
"Morbid obesity. Laparoscopic antecolic antegastric Roux-en-Y gastric bypass with EEA anastomosis. This is a 30-year-old female, who has been overweight for many years. She has tried many different diets, but is unsuccessful.",Bariatrics,Bariatrics
"Morbid obesity. Laparoscopic Roux-en-Y gastric bypass, antecolic, antegastric with 25-mm EEA anastamosis, esophagogastroduodenoscopy.",Bariatrics,Bariatrics
Consult for laparoscopic gastric bypass.,Bariatrics,Bariatrics
Consult for laparoscopic gastric bypass.,Bariatrics,Bariatrics
Suction-assisted lipectomy - lipodystrophy of the abdomen and thighs.,Bariatrics,Cosmetic / Plastic Surgery
"Liposuction of the supraumbilical abdomen, revision of right breast reconstruction, excision of soft tissue fullness of the lateral abdomen and flank.",Bariatrics,Cosmetic / Plastic Surgery
"Normal left ventricle, moderate biatrial enlargement, and mild tricuspid regurgitation, but only mild increase in right heart pressures.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
2-D M-Mode. Doppler.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
2-D Echocardiogram,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
2-D Echocardiogram,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Echocardiogram and Doppler,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Abnormal echocardiogram findings and followup. Shortness of breath, congestive heart failure, and valvular insufficiency. The patient complains of shortness of breath, which is worsening. The patient underwent an echocardiogram, which shows severe mitral regurgitation and also large pleural effusion.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Patient had a markedly abnormal stress test with severe chest pain after 5 minutes of exercise on the standard Bruce with horizontal ST depressions and moderate apical ischemia on stress imaging only.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Patient presents with a chief complaint of chest pain admitted to Coronary Care Unit due to acute inferior myocardial infarction.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Adenosine with nuclear scan as the patient unable to walk on a treadmill. Nondiagnostic adenosine stress test. Normal nuclear myocardial perfusion scan.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
A sample note on Angina.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Patient had a recurrent left arm pain after her stent, three days ago, and this persisted after two sublingual nitroglycerin.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Lower extremity angiogram, superficial femoral artery laser atherectomy and percutaneous transluminal balloon angioplasty, external iliac artery angioplasty and stent placement, and completion angiogram.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Left heart cath, selective coronary angiogram, right common femoral angiogram, and StarClose closure of right common femoral artery.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Left heart catheterization, bilateral selective coronary angiography, left ventriculography, and right heart catheterization. Positive nuclear stress test involving reversible ischemia of the lateral wall and the anterior wall consistent with left anterior descending artery lesion.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Selective coronary angiography of the right coronary artery, left main LAD, left circumflex artery, left ventricular catheterization, left ventricular angiography, angioplasty of totally occluded mid RCA, arthrectomy using 6-French catheter, stenting of the mid RCA, stenting of the proximal RCA, femoral angiography and Perclose hemostasis.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Aortic valve replacement using a mechanical valve and two-vessel coronary artery bypass grafting procedure using saphenous vein graft to the first obtuse marginal artery and left radial artery graft to the left anterior descending artery.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Aortoiliac occlusive disease. Aortobifemoral bypass. The aorta was of normal size and consistency consistent with arteriosclerosis. A 16x8 mm Gore-Tex graft was placed without difficulty. The femoral vessels were small somewhat thin and there was posterior packing, but satisfactory bypass was performed.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Dementia and aortoiliac occlusive disease bilaterally. Aortobifemoral bypass surgery utilizing a bifurcated Hemashield graft.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Aortogram with bilateral, segmental lower extremity run off. Left leg claudication. The patient presents with lower extremity claudication.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Arterial imaging of bilateral lower extremities.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Ash split venous port insertion. The right anterior chest and supraclavicular fossa area, neck, and left side of chest were prepped with Betadine and draped in a sterile fashion.",Cardiovascular / Pulmonary,Surgery
A 74-year-old woman for Cardiology consultation regarding atrial fibrillation and anticoagulation after a fall. The patient denies any chest pain nor clear shortness of breath.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Atrial fibrillation with rapid ventricular response, Wolff-Parkinson White Syndrome, recent aortic valve replacement with bioprosthetic Medtronic valve, and hyperlipidemia.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"The patient is a very pleasant 62-year-old African American female with a history of hypertension, hypercholesterolemia, and CVA, referred for evaluation and management of atrial fibrillation.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
A critically ill 67-year-old with multiple medical problems probably still showing signs of volume depletion with hypotension and atrial flutter with difficult to control rate.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"The patient is a 5-1/2-year-old with Down syndrome, complex heart disease consisting of atrioventricular septal defect and tetralogy of Fallot with pulmonary atresia, discontinuous pulmonary arteries and bilateral superior vena cava with a left cava draining to the coronary sinus and a right aortic arch.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Carotid artery angiograms.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Bilateral carotid cerebral angiogram and right femoral-popliteal angiogram.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Implantation of biventricular automatic implantable cardioverter defibrillator, fluoroscopic guidance for lead implantation for biventricular automatic implantable cardioverter defibrillator, coronary sinus venogram for left ventricular lead placement, and defibrillation threshold testing x2.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
2-month-old female - increased work of breathing.,Cardiovascular / Pulmonary,Pediatrics - Neonatal
"Bronchiolitis, respiratory syncytial virus positive; improved and stable. Innocent heart murmur, stable.",Cardiovascular / Pulmonary,Pediatrics - Neonatal
Evaluation of airway for possible bacterial infection performed using bronchoalveolar lavage.,Cardiovascular / Pulmonary,Pulmonary / Cardiovascular
Bronchoscopy. Atelectasis and mucous plugging.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Bronchoscopy, right upper lobe biopsies and right upper lobe bronchial washing as well as precarinal transbronchial needle aspiration.",Cardiovascular / Pulmonary,Pulmonary / Cardiovascular
Bronchoscopy for persistent cough productive of sputum requiring repeated courses of oral antibiotics over the last six weeks in a patient who is a recipient of a bone marrow transplant with end-stage chemotherapy and radiation-induced pulmonary fibrosis.,Cardiovascular / Pulmonary,Pulmonary / Cardiovascular
Fiberoptic bronchoscopy for diagnosis of right lung atelectasis and extensive mucus plugging in right main stem bronchus.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Rigid bronchoscopy with dilation, excision of granulation tissue tumor, application of mitomycin-C, endobronchial ultrasound.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Rigid bronchoscopy, removal of foreign body, excision of granulation tissue tumor, bronchial dilation , Argon plasma coagulation, placement of a tracheal and bilateral bronchial stents.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Bronchoscopy for hypoxia and increasing pulmonary secretions,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Diagnostic fiberoptic bronchoscopy.,Cardiovascular / Pulmonary,Pulmonary / Cardiovascular
"Bronchoscopy with brush biopsies. Persistent pneumonia, right upper lobe of the lung, possible mass.",Cardiovascular / Pulmonary,Pulmonary / Cardiovascular
"Fiberoptic bronchoscopy with endobronchial biopsies. A CT scan done of the chest there which demonstrated bilateral hilar adenopathy with extension to the subcarinal space as well as a large 6-cm right hilar mass, consistent with a primary lung carcinoma.",Cardiovascular / Pulmonary,Medical Specialty: Pulmonary / Cardiovascular
Flexible Bronchoscopy (pediatric),Cardiovascular / Pulmonary,Pediatrics - Neonatal
"Bronchoscopy with bronchoalveolar lavage. Refractory pneumonitis. A 69-year-old man status post trauma, slightly prolonged respiratory failure status post tracheostomy, requires another bronchoscopy for further evaluation of refractory pneumonitis.",Cardiovascular / Pulmonary,Pulmonary / Respiratory
Plastic piece foreign body in the right main stem bronchus. Rigid bronchoscopy with foreign body removal.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Bronchoscopy with aspiration and left upper lobectomy. Carcinoma of the left upper lobe.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Diagnostic bronchoscopy and limited left thoracotomy with partial pulmonary decortication and insertion of chest tubes x2. Bilateral bronchopneumonia and empyema of the chest, left.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Bronchoscopy brushings, washings and biopsies. Patient with a bilateral infiltrates, immunocompromised host, and pneumonia.",Cardiovascular / Pulmonary,Pulmonary / Cardiovascular
Lumbar osteomyelitis and need for durable central intravenous access. Placement of left subclavian 4-French Broviac catheter.,Cardiovascular / Pulmonary,Surgery
"Coronary artery bypass grafting times three utilizing the left internal mammary artery, left anterior descending and reversed autogenous saphenous vein graft to the posterior descending branch of the right coronary artery and obtuse marginal coronary artery, total cardiopulmonary bypass, cold blood potassium cardioplegia, antegrade and retrograde, for myocardial protection.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Coronary bypass graft x2 utilizing left internal mammary artery, the left anterior descending, reverse autogenous reverse autogenous saphenous vein graft to the obtuse marginal. Total cardiopulmonary bypass, cold-blood potassium cardioplegia, antegrade for myocardial protection.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Coronary artery bypass grafting (CABG) x2, left internal mammary artery to the left anterior descending and reverse saphenous vein graft to the circumflex, St. Jude proximal anastomosis used for vein graft. Off-pump Medtronic technique for left internal mammary artery, and a BIVAD technique for the circumflex.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Redo coronary bypass grafting x3, right and left internal mammary, left anterior descending, reverse autogenous saphenous vein graft to the obtuse marginal and posterior descending branch of the right coronary artery. Total cardiopulmonary bypass, cold-blood potassium cardioplegia, antegrade for myocardial protection. Placement of a right femoral intraaortic balloon pump.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Coronary artery bypass grafting (CABG) x4. Progressive exertional angina, three-vessel coronary artery disease, left main disease, preserved left ventricular function.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"He is a 67-year-old man who suffers from chronic anxiety and coronary artery disease and DJD. He has been having some chest pains, but overall he does not sound too concerning. He does note some more shortness of breath than usual. He has had no palpitations or lightheadedness. No problems with edema.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Orthostatic cardiac allograft transplantation utilizing total cardiopulmonary bypass, open sternotomy covered with Ioban, insertion of Mahurkar catheter for hemofiltration via the left common femoral vein.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Left Cardiac Catheterization, Left Ventriculography, Coronary Angiography and Stent Placement.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Left cardiac catheterization with selective right and left coronary angiography. Post infarct angina.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Left heart catheterization, LV cineangiography, selective coronary angiography, and right heart catheterization with cardiac output by thermodilution technique with dual transducer.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Cardiac Catheterization - An obese female with a family history of coronary disease and history of chest radiation for Hodgkin disease, presents with an acute myocardial infarction with elevated enzymes.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Left Heart Catheterization. Chest pain, coronary artery disease, prior bypass surgery. Left coronary artery disease native. Patent vein graft with obtuse marginal vessel and also LIMA to LAD. Native right coronary artery is patent, mild disease.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Patient with significant angina with moderate anteroapical ischemia on nuclear perfusion stress imaging only. He has been referred for cardiac catheterization.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Cardiac catheterization. Coronary artery disease plus intimal calcification in the mid abdominal aorta without significant stenosis.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
The patient with atypical type right arm discomfort and neck discomfort.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"White male with onset of chest pain, with history of on and off chest discomfort over the past several days.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Percutaneous intervention with drug-eluting stent placement to the ostium of the PDA.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Left heart catheterization with coronary angiography, vein graft angiography and left ventricular pressure measurement and angiography.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Right heart and left heart catheterization by way of right femoral artery, right femoral vein, and right internal jugular vein.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Left heart catheterization, left ventriculogram, selective coronary arteriography, aortic arch angiogram, right iliofemoral angiogram, #6 French Angio-Seal placement.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Left heart cardiac catheterization.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Cardiac catheterization and coronary intervention report.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Patient with a history of atrial fibrillation in the past, more recently who has had atrial flutter. The patient has noted some lightheadedness as well as chest discomfort and shortness of breath when atrial flutter recurred.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"A woman with history of coronary artery disease, has had coronary artery bypass grafting x2 and percutaneous coronary intervention with stenting x1. She also has a significant history of chronic renal insufficiency and severe COPD.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"To evaluate recurrent episodes of uncomfortable feeling in arm at rest, as well as during exertion.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"To evaluate exercise-induced chest pain, palpitations, dizzy spells, shortness of breath, and abnormal EKG.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Patient with atrial fibrillation with slow ventricular response, partially due to medications.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Patient with right-sided chest pain, borderline elevated high blood pressure, history of hyperlipidemia, and obesity.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Cardiac evaluation and treatment in a patient who came in the hospital with abdominal pain.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Preoperative cardiac evaluation in the patient with chest pain in the setting of left hip fracture.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"The patient has a previous history of aortic valve disease, status post aortic valve replacement, a previous history of paroxysmal atrial fibrillation, congestive heart failure, a previous history of transient ischemic attack with no residual neurologic deficits.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Patient with chest pains, CAD, and cardiomyopathy.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Need for cardiac catheterization. Coronary artery disease, chest pain, history of diabetes, history of hypertension, history of obesity, a 1.1 cm lesion in the medial aspect of the right parietal lobe, and deconditioning.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"A 49-year-old man with respiratory distress, history of coronary artery disease with prior myocardial infarctions, and recently admitted with pneumonia and respiratory failure.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Cardiolite treadmill exercise stress test. The patient was exercised on the treadmill to maximum tolerance achieving after 5 minutes a peak heart rate of 137 beats per minute with a workload of 2.3 METS.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Follow up update on patient with left carotid angioplasty and stent placement.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Sample cardiology office visit note.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Cardiology office visit sample note.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Problem of essential hypertension. Symptoms that suggested intracranial pathology.,Cardiovascular / Pulmonary,Neurology
Congestive heart failure due to rapid atrial fibrillation and systolic dysfunction.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Cardiomyopathy and hypotension. A lady with dementia, coronary artery disease, prior bypass, reduced LV function, and recurrent admissions for diarrhea and hypotension several times.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Male with a history of therapy-controlled hypertension, borderline diabetes, and obesity. Risk factors for coronary heart disease.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Cardioversion. An 86-year-old woman with a history of aortic valve replacement in the past with paroxysmal atrial fibrillation,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Direct current cardioversion. Successful direct current cardioversion with restoration of sinus rhythm from atrial fibrillation with no immediate complication.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Direct-current cardioversion. This is a 53-year-old gentleman with history of paroxysmal atrial fibrillation for 3 years. Successful DC cardioversion of atrial fibrillation.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Cardioversion. Unsuccessful direct current cardioversion with permanent atrial fibrillation.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Carotid and cerebral arteriogram - abnormal carotid duplex studies demonstrating occlusion of the left internal carotid artery.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Carotid Ultrasonic & Color Flow Imaging,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Right carotid stenosis and prior cerebrovascular accident. Right carotid endarterectomy with patch angioplasty.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Right common carotid endarterectomy, internal carotid endarterectomy, external carotid endarterectomy, and Hemashield patch angioplasty of the right common, internal and external carotid arteries.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Left carotid endarterectomy with endovascular patch angioplasty. Critical left carotid stenosis. The external carotid artery was occluded at its origin. When the endarterectomy was performed, the external carotid artery back-bled nicely. The internal carotid artery had good backflow bleeding noted.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Central line insertion. Empyema thoracis and need for intravenous antibiotics.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Right subclavian triple lumen central line placement,Cardiovascular / Pulmonary,Surgery
Insertion of central venous line and arterial line and transesophageal echocardiography probe.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Delayed primary chest closure. Open chest status post modified stage 1 Norwood operation. The patient is a newborn with diagnosis of hypoplastic left heart syndrome who 48 hours prior to the current procedure has undergone a modified stage 1 Norwood operation.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Patient with palpitations and rcent worsening of chronic chest discomfort.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Chest PA & Lateral to evaluate shortness of breath and pneumothorax versus left-sided effusion.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Chest pain, possible syncopal spells. She has been having multiple cardiovascular complaints including chest pains, which feel like cramps and sometimes like a dull ache, which will last all day long.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Patient with a family history of premature coronary artery disease came in for evaluation of recurrent chest pain,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
A lady was admitted to the hospital with chest pain and respiratory insufficiency. She has chronic lung disease with bronchospastic angina.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Postcontrast CT chest pulmonary embolism protocol, 100 mL of Isovue-300 contrast is utilized.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Right hemothorax. Insertion of a #32 French chest tube on the right hemithorax. This is a 54-year-old female with a newly diagnosed carcinoma of the cervix. The patient is to have an Infuse-A-Port insertion.,Cardiovascular / Pulmonary,Surgery
Chest tube insertion done by two physicians in ER - spontaneous pneumothorax secondary to barometric trauma.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Left pleural effusion, parapneumonic, loculated. Left chest tube placement.",Cardiovascular / Pulmonary,Pulmonary / Cardiovascular
Bilateral pleural effusion. Removal of bilateral #32 French chest tubes with closure of wound.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Resection of left chest wall tumor, partial resection of left diaphragm, left lower lobe lung wedge resection, left chest wall reconstruction with Gore-Tex mesh.",Cardiovascular / Pulmonary,Surgery
A routine return appointment for a 71-year-old woman with chronic atrial fibrillation. Chief complaint today is shortness of breath.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Left and right coronary system cineangiography, cineangiography of SVG to OM and LIMA to LAD. Left ventriculogram and aortogram. Percutaneous intervention of the left circumflex and obtuse marginal branch with plano balloon angioplasty unable to pass stent.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Left and right coronary system cineangiography. Left ventriculogram. PCI to the left circumflex with a 3.5 x 12 and a 3.5 x 8 mm Vision bare-metal stents postdilated with a 3.75-mm noncompliant balloon x2.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Juxtaductal coarctation of the aorta, dilated cardiomyopathy, bicuspid aortic valve, patent foramen ovale.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"A 10-1/2-year-old born with asplenia syndrome with a complex cyanotic congenital heart disease characterized by dextrocardia bilateral superior vena cava, complete atrioventricular septal defect, a total anomalous pulmonary venous return to the right-sided atrium, and double-outlet to the right ventricle with malposed great vessels, the aorta being anterior with a severe pulmonary stenosis.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Abnormal EKG and rapid heart rate. The patient came to the emergency room. Initially showed atrial fibrillation with rapid ventricular response. It appears that the patient has chronic atrial fibrillation. She denies any specific chest pain. Her main complaint is shortness of breath and symptoms as above.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Patient with past medical history significant for coronary artery disease status post bypass grafting surgery and history of a stroke with residual left sided hemiplegia.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Atrial fibrillation and shortness of breath. The patient is an 81-year-old gentleman with shortness of breath, progressively worsening, of recent onset. History of hypertension, no history of diabetes mellitus, ex-smoker, cholesterol status elevated, no history of established coronary artery disease, and family history positive.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Congestive heart failure (CHF). The patient is a 75-year-old gentleman presented through the emergency room. Symptoms are of shortness of breath, fatigue, and tiredness. Main complaints are right-sided and abdominal pain. Initial blood test in the emergency room showed elevated BNP suggestive of congestive heart failure.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Coronary artery disease, prior bypass surgery. The patient has history of elevated PSA and BPH. He had a prior prostate biopsy and he recently had some procedure done, subsequently developed urinary tract infection, and presently on antibiotic. From cardiac standpoint, the patient denies any significant symptom except for fatigue and tiredness.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
The patient admitted with palpitations and presyncope.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"A 67-year-old male with COPD and history of bronchospasm, who presents with a 3-day history of increased cough, respiratory secretions, wheezings, and shortness of breath.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Chronic obstructive pulmonary disease (COPD) exacerbation and acute bronchitis.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Acute on chronic COPD exacerbation and community acquired pneumonia both resolving. However, she may need home O2 for a short period of time.",Cardiovascular / Pulmonary,Pulmonary / Cardiovascular
"Selective coronary angiography, left heart catheterization with hemodynamics, LV gram with power injection, right femoral artery angiogram, closure of the right femoral artery using 6-French AngioSeal.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Selective coronary angiography. Placement of overlapping 3.0 x 18 and 3.0 x 8 mm Xience stents in the proximal right coronary artery. Abdominal aortography.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
CCTA with cardiac function and calcium scoring.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
CCTA with Cardiac Function/Calcium Scoring,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Coronary Artery CTA with Calcium Scoring and Cardiac Function,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
A 51-year-old male with chest pain and history of coronary artery disease.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
A 62-year-old male with a history of ischemic cardiomyopathy and implanted defibrillator.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
"Chest pain, shortness of breath and cough, evaluate for pulmonary arterial embolism. CT angiography chest with contrast. Axial CT images of the chest were obtained for pulmonary embolism protocol utilizing 100 mL of Isovue-300.",Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Shortness of breath for two weeks and a history of pneumonia. CT angiography chest with contrast. Axial CT images of the chest were obtained for pulmonary embolism protocol utilizing 100 mL of Isovue-300.,Cardiovascular / Pulmonary,Cardiovascular / Pulmonary
Common CT Chest template,Cardiovascular / Pulmonary,Radiology
CT chest with contrast.,Cardiovascular / Pulmonary,Radiology
A 68-year-old white male with recently diagnosed adenocarcinoma by sputum cytology. An abnormal chest radiograph shows right middle lobe infiltrate and collapse. Patient needs staging CT of chest with contrast.,Cardiovascular / Pulmonary,Pulmonary / Cardiovascular
CT of chest with contrast. Abnormal chest x-ray demonstrating a region of consolidation versus mass in the right upper lobe.,Cardiovascular / Pulmonary,Radiology
"Cerebrovascular accident (CVA) with right arm weakness and MRI indicating acute/subacute infarct involving the left posterior parietal lobe without mass effect. 2. Old coronary infarct, anterior aspect of the right external capsule. Acute bronchitis with reactive airway disease.",Cardiovascular / Pulmonary,Neurology
